State,!,!=,%,%=,&,&&,(,),*,*=,+,++,+=,",",-,--,-=,->,.,/,/=,:,;,<,<<,<=,=,==,>,>=,>>,?,BOOL_CONSTANT,FLOAT_CONSTANT,IDENTIFIER,INT_CONSTANT,LOWER_THAN_ELSE,STRING_CONSTANT,[,],^,bool,break,continue,do,dyn,echo,else,float,for,fun,if,int,lambda,list,null,ret,string,type,var,while,{,|,||,},~,$end,anonFunc,arguments,assignment,bitwise_and,bitwise_or,bitwise_xor,block,breakStmt,call_access,comparison,continueStmt,decList,declaration,dowhileStmt,echoStmt,elements,equality,exprStmt,expression,factor,forInit,forStmt,funDecl,function,ifStmt,inTypeDecl,inTypeDeclList,logic_and,logic_or,optExpr,parameters,primary,program,returnStmt,shift,statement,term,ternary,typeDecl,typedVar,unary,varDecl,var_type,whileStmt
57,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,r101,r101,r101,s122,r101,r101,s125,r101,r101,s120,r101,s123,s118,r101,r101,s124,s119,r101,r101,r101,s121,r101,r101,r101,r101,r101,s117,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,s126,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,r115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,r101,r101,r101,r101,r101,r101,s125,r101,r101,r101,r101,s123,r101,r101,r101,s124,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,s126,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,r101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
